"OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"43-5000","Material Recording, Scheduling, Dispatching, and Distributing Workers","minor","3,830,120",0.3,15.54,"32,310",0.1,8.53,9.94,13.65,19.87,26.17,"17,740","20,680","28,380","41,320","54,430",,
"39-0000","Personal Care and Service Occupations","major","3,810,750",0.4,11.80,"24,550",0.2,7.96,8.66,10.02,13.10,18.21,"16,560","18,010","20,840","27,250","37,870",,
"47-2000","Construction Trades Workers","minor","3,671,980",0.3,21.09,"43,860",0.2,11.10,14.21,18.74,26.49,34.85,"23,090","29,550","38,970","55,100","72,490",,
"53-3000","Motor Vehicle Operators","minor","3,618,180",0.4,16.87,"35,090",0.2,8.91,11.49,15.77,20.96,27.09,"18,540","23,910","32,800","43,610","56,340",,
"43-6000","Secretaries and Administrative Assistants","minor","3,615,090",0.3,18.16,"37,780",0.1,10.53,13.24,16.99,21.90,27.77,"21,910","27,540","35,330","45,540","57,750",,
"43-6010","Secretaries and Administrative Assistants","broad","3,615,090",0.3,18.16,"37,780",0.1,10.53,13.24,16.99,21.90,27.77,"21,910","27,540","35,330","45,540","57,750",,
"15-0000","Computer and Mathematical Occupations","major","3,578,220",0.4,38.55,"80,180",0.3,19.39,26.55,36.67,48.40,60.55,"40,330","55,220","76,270","100,670","125,940",,
"15-1100","Computer Occupations","minor","3,456,500",0.4,38.47,"80,020",0.3,19.35,26.53,36.67,48.33,60.32,"40,260","55,180","76,270","100,540","125,470",,
"35-3020","Fast Food and Counter Workers","broad","3,378,030",0.5,9.04,"18,810",0.3,7.75,8.19,8.80,9.37,11.33,"16,110","17,040","18,300","19,490","23,560",,
"41-2010","Cashiers","broad","3,335,980",0.4,9.81,"20,410",0.3,7.89,8.41,9.13,10.64,13.27,"16,410","17,500","18,990","22,120","27,590",,
"43-3000","Financial Clerks","minor","3,324,780",0.3,16.55,"34,420",0.1,10.13,12.44,15.71,19.72,24.17,"21,060","25,880","32,680","41,010","50,270",,
"41-2011","Cashiers","detailed","3,314,010",0.4,9.79,"20,370",0.3,7.89,8.41,9.12,10.61,13.20,"16,410","17,490","18,970","22,060","27,450",,
"53-7060","Laborers and Material Movers, Hand","broad","3,213,370",0.5,12.17,"25,310",0.3,8.21,9.01,10.95,14.25,18.17,"17,070","18,750","22,770","29,640","37,790",,
"33-0000","Protective Service Occupations","major","3,207,790",0.4,20.70,"43,050",0.6,9.09,11.71,17.60,26.89,37.35,"18,910","24,370","36,620","55,940","77,680",,
"37-2000","Building Cleaning and Pest Control Workers","minor","3,067,210",0.4,11.60,"24,130",0.3,8.03,8.77,10.37,13.59,17.67,"16,690","18,230","21,570","28,260","36,750",,
"37-2010","Building Cleaning Workers","broad","3,005,830",0.4,11.52,"23,970",0.3,8.02,8.75,10.31,13.47,17.53,"16,680","18,200","21,440","28,010","36,460",,
"35-3021","Combined Food Preparation and Serving Workers, Including Fast Food","detailed","2,943,810",0.6,9.00,"18,720",0.3,7.74,8.18,8.78,9.34,11.24,"16,100","17,010","18,260","19,440","23,380",,
"35-2000","Cooks and Food Preparation Workers","minor","2,870,010",0.4,10.52,"21,890",0.3,7.97,8.61,9.66,11.81,14.47,"16,580","17,910","20,090","24,560","30,100",,
"29-2000","Health Technologists and Technicians","minor","2,827,170",0.4,21.12,"43,930",0.2,11.77,14.92,19.41,25.98,33.59,"24,490","31,030","40,380","54,040","69,870",,
"43-9060","Office Clerks, General","broad","2,808,100",0.5,14.07,"29,270",0.2,8.59,10.12,13.21,17.00,21.21,"17,860","21,050","27,470","35,370","44,130",,
"43-9061","Office Clerks, General","detailed","2,808,100",0.5,14.07,"29,270",0.2,8.59,10.12,13.21,17.00,21.21,"17,860","21,050","27,470","35,370","44,130",,
"53-3030","Driver/Sales Workers and Truck Drivers","broad","2,719,630",0.4,17.65,"36,710",0.2,9.14,12.21,16.61,21.83,28.11,"19,010","25,390","34,550","45,410","58,470",,
"49-9000","Other Installation, Maintenance, and Repair Occupations","minor","2,636,210",0.3,20.00,"41,600",0.2,10.60,13.93,18.63,25.11,31.83,"22,050","28,970","38,750","52,240","66,210",,
"29-1140","Registered Nurses","broad","2,633,980",0.5,32.66,"67,930",0.3,21.65,25.80,31.48,37.84,45.54,"45,040","53,670","65,470","78,700","94,720",,
"29-1141","Registered Nurses","detailed","2,633,980",0.5,32.66,"67,930",0.3,21.65,25.80,31.48,37.84,45.54,"45,040","53,670","65,470","78,700","94,720",,
"13-2000","Financial Specialists","minor","2,432,190",0.4,34.70,"72,180",0.3,17.30,22.66,30.32,41.45,56.10,"35,980","47,140","63,070","86,210","116,680",,
"51-9000","Other Production Occupations","minor","2,397,100",0.5,15.43,"32,100",0.3,8.83,10.61,14.10,18.62,24.30,"18,360","22,060","29,330","38,730","50,550",,
"31-1000","Nursing, Psychiatric, and Home Health Aides","minor","2,391,750",0.5,11.69,"24,320",0.3,8.31,9.46,11.07,13.54,16.39,"17,280","19,670","23,030","28,160","34,090",,
"31-1010","Nursing, Psychiatric, and Home Health Aides","broad","2,391,750",0.5,11.69,"24,320",0.3,8.31,9.46,11.07,13.54,16.39,"17,280","19,670","23,030","28,160","34,090",,
"17-0000","Architecture and Engineering Occupations","major","2,356,530",0.5,37.98,"79,000",0.3,19.45,26.16,35.35,46.81,59.52,"40,450","54,420","73,540","97,370","123,810",,
"35-3030","Waiters and Waitresses","broad","2,332,020",0.5,9.95,"20,710",0.4,7.79,8.27,8.92,10.26,14.19,"16,210","17,210","18,540","21,350","29,510",,
"35-3031","Waiters and Waitresses","detailed","2,332,020",0.5,9.95,"20,710",0.4,7.79,8.27,8.92,10.26,14.19,"16,210","17,210","18,540","21,350","29,510",,
"39-9000","Other Personal Care and Service Workers","minor","2,304,120",0.5,11.29,"23,490",0.3,7.93,8.63,9.92,12.20,16.70,"16,500","17,960","20,630","25,370","34,730",,
"43-4050","Customer Service Representatives","broad","2,299,750",0.5,15.92,"33,110",0.2,9.38,11.61,14.70,18.79,24.00,"19,500","24,140","30,580","39,080","49,930",,
"43-4051","Customer Service Representatives","detailed","2,299,750",0.5,15.92,"33,110",0.2,9.38,11.61,14.70,18.79,24.00,"19,500","24,140","30,580","39,080","49,930",,
"11-1000","Top Executives","minor","2,212,150",0.2,57.72,"120,060",0.2,21.81,32.04,47.86,74.63,"#","45,370","66,630","99,550","155,240","#",,
"53-7062","Laborers and Freight, Stock, and Material Movers, Hand","detailed","2,143,940",0.6,12.70,"26,410",0.3,8.32,9.27,11.49,14.77,18.79,"17,300","19,280","23,890","30,730","39,090",,
"37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","detailed","2,097,380",0.5,11.95,"24,850",0.3,8.08,8.89,10.73,14.10,18.17,"16,820","18,480","22,320","29,330","37,790",,
"43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","detailed","2,085,680",0.3,16.13,"33,560",0.2,9.72,12.33,15.58,19.41,23.33,"20,230","25,650","32,410","40,360","48,520",,
"35-2010","Cooks","broad","2,084,640",0.5,10.70,"22,260",0.3,8.00,8.66,9.88,12.17,14.68,"16,630","18,010","20,550","25,320","30,530",,
"11-9000","Other Management Occupations","minor","2,047,560",0.3,43.46,"90,400",0.2,19.42,27.33,39.39,54.54,71.67,"40,400","56,840","81,940","113,450","149,070",,
"25-2020","Elementary and Middle School Teachers","broad","1,999,790",0.5,"*","56,180",0.6,"*","*","*","*","*","35,970","43,080","53,420","67,280","82,840","TRUE",
"11-1020","General and Operations Managers","broad","1,899,460",0.3,55.22,"114,850",0.2,22.54,31.66,45.88,69.81,"#","46,890","65,860","95,440","145,210","#",,
"11-1021","General and Operations Managers","detailed","1,899,460",0.3,55.22,"114,850",0.2,22.54,31.66,45.88,69.81,"#","46,890","65,860","95,440","145,210","#",,
"21-0000","Community and Social Service Occupations","major","1,882,080",0.4,21.27,"44,240",0.4,11.21,14.57,19.42,26.52,34.36,"23,310","30,310","40,400","55,160","71,460",,
"51-4000","Metal Workers and Plastic Workers","minor","1,837,280",0.5,17.88,"37,190",0.2,10.61,13.28,17.01,21.51,26.93,"22,070","27,630","35,380","44,740","56,010",,
"21-1000","Counselors, Social Workers, and Other Community and Social Service Specialists","minor","1,811,660",0.4,21.26,"44,220",0.4,11.29,14.62,19.43,26.50,34.30,"23,470","30,410","40,400","55,130","71,330",,
"43-5080","Stock Clerks and Order Fillers","broad","1,806,310",0.5,11.75,"24,440",0.2,8.12,8.89,10.60,13.73,17.70,"16,890","18,480","22,050","28,570","36,820",,
"43-5081","Stock Clerks and Order Fillers","detailed","1,806,310",0.5,11.75,"24,440",0.2,8.12,8.89,10.60,13.73,17.70,"16,890","18,480","22,050","28,570","36,820",,
"41-4000","Sales Representatives, Wholesale and Manufacturing","minor","1,778,860",0.5,33.02,"68,690",0.3,13.81,19.22,27.82,40.87,57.77,"28,730","39,970","57,870","85,020","120,170",,
"41-4010","Sales Representatives, Wholesale and Manufacturing","broad","1,778,860",0.5,33.02,"68,690",0.3,13.81,19.22,27.82,40.87,57.77,"28,730","39,970","57,870","85,020","120,170",,
"27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","1,750,130",0.7,26.20,"54,490",0.8,9.42,13.76,21.12,32.16,46.12,"19,600","28,630","43,930","66,890","95,930",,
"51-2000","Assemblers and Fabricators","minor","1,718,700",0.7,14.89,"30,970",0.5,8.85,10.58,13.74,17.83,23.13,"18,400","22,000","28,580","37,080","48,110",,
"43-3030","Bookkeeping, Accounting, and Auditing Clerks","broad","1,606,260",0.3,17.62,"36,640",0.1,10.39,13.34,16.91,21.19,26.11,"21,610","27,750","35,170","44,070","54,310",,
"43-3031","Bookkeeping, Accounting, and Auditing Clerks","detailed","1,606,260",0.3,17.62,"36,640",0.1,10.39,13.34,16.91,21.19,26.11,"21,610","27,750","35,170","44,070","54,310",,
"53-3032","Heavy and Tractor-Trailer Truck Drivers","detailed","1,556,510",0.6,19.40,"40,360",0.3,12.07,14.86,18.37,22.86,28.32,"25,110","30,910","38,200","47,540","58,910",,
"41-3000","Sales Representatives, Services","minor","1,549,470",0.5,32.97,"68,580",0.5,12.44,16.74,24.56,38.96,64.84,"25,880","34,820","51,080","81,040","134,860",,
"11-3000","Operations Specialties Managers","minor","1,532,610",0.3,53.54,"111,350",0.2,26.68,35.69,48.42,65.69,86.85,"55,490","74,230","100,720","136,650","180,650",,
"17-2000","Engineers","minor","1,530,090",0.7,43.73,"90,960",0.3,25.68,32.34,41.44,52.80,66.02,"53,420","67,270","86,200","109,820","137,310",,
"25-1000","Postsecondary Teachers","minor","1,496,810",0.9,"*","73,770",0.9,"*","*","*","*","*","29,120","42,910","62,390","90,960","134,120","TRUE",
"41-1000","Supervisors of Sales Workers","minor","1,457,580",0.4,22.99,"47,820",0.2,11.66,14.46,18.92,26.33,38.27,"24,260","30,070","39,350","54,760","79,600",,
"41-1010","First-Line Supervisors of Sales Workers","broad","1,457,580",0.4,22.99,"47,820",0.2,11.66,14.46,18.92,26.33,38.27,"24,260","30,070","39,350","54,760","79,600",,
"25-9000","Other Education, Training, and Library Occupations","minor","1,440,720",0.5,"*","30,180",0.4,"*","*","*","*","*","17,460","19,870","25,480","34,480","48,850","TRUE",
"49-3000","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","minor","1,438,930",0.5,19.61,"40,780",0.2,10.33,13.71,18.50,24.55,29.98,"21,480","28,510","38,470","51,070","62,370",,
"31-1014","Nursing Assistants","detailed","1,420,020",0.5,12.32,"25,620",0.2,8.80,10.07,11.74,14.16,16.99,"18,300","20,940","24,420","29,450","35,330",,
"33-9000","Other Protective Service Workers","minor","1,417,510",0.7,13.36,"27,790",0.4,8.33,9.39,11.65,15.90,20.90,"17,320","19,520","24,230","33,080","43,470",,
"41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","detailed","1,414,030",0.5,30.91,"64,300",0.3,13.15,18.22,26.07,37.47,54.16,"27,340","37,910","54,230","77,940","112,650",,
"15-1130","Software Developers and Programmers","broad","1,397,780",0.8,43.50,"90,470",0.4,23.95,31.99,41.87,53.70,66.72,"49,820","66,540","87,100","111,690","138,770",,
"31-9000","Other Healthcare Support Occupations","minor","1,367,740",0.5,15.43,"32,100",0.2,9.83,12.01,14.72,17.98,21.98,"20,450","24,980","30,620","37,390","45,720",,
"25-2021","Elementary School Teachers, Except Special Education","detailed","1,360,380",0.6,"*","56,130",0.7,"*","*","*","*","*","35,630","42,910","53,400","67,480","83,160","TRUE",
"43-1000","Supervisors of Office and Administrative Support Workers","minor","1,359,150",0.3,25.40,"52,830",0.1,14.67,18.43,23.72,30.78,38.41,"30,520","38,340","49,330","64,030","79,890",,
"43-1010","First-Line Supervisors of Office and Administrative Support Workers","broad","1,359,150",0.3,25.40,"52,830",0.1,14.67,18.43,23.72,30.78,38.41,"30,520","38,340","49,330","64,030","79,890",,
"43-1011","First-Line Supervisors of Office and Administrative Support Workers","detailed","1,359,150",0.3,25.40,"52,830",0.1,14.67,18.43,23.72,30.78,38.41,"30,520","38,340","49,330","64,030","79,890",,
"31-9090","Miscellaneous Healthcare Support Occupations","broad","1,296,700",0.5,15.21,"31,640",0.2,9.89,12.01,14.63,17.83,21.59,"20,570","24,970","30,430","37,080","44,910",,
"51-2090","Miscellaneous Assemblers and Fabricators","broad","1,296,650",0.8,14.30,"29,730",0.5,8.67,10.19,13.14,17.19,22.47,"18,030","21,190","27,330","35,750","46,730",,
"35-9000","Other Food Preparation and Serving Related Workers","minor","1,275,900",0.6,9.36,"19,470",0.3,7.80,8.29,8.91,9.83,11.82,"16,230","17,230","18,530","20,450","24,590",,
"49-9070","Maintenance and Repair Workers, General","broad","1,230,270",0.4,17.88,"37,190",0.2,10.06,12.85,16.93,21.99,27.53,"20,920","26,720","35,210","45,740","57,260",,
"49-9071","Maintenance and Repair Workers, General","detailed","1,230,270",0.4,17.88,"37,190",0.2,10.06,12.85,16.93,21.99,27.53,"20,920","26,720","35,210","45,740","57,260",,
"41-1011","First-Line Supervisors of Retail Sales Workers","detailed","1,214,170",0.4,19.67,"40,910",0.2,11.25,13.82,17.70,22.76,29.78,"23,410","28,740","36,820","47,330","61,940",,
"33-3000","Law Enforcement Workers","minor","1,212,010",0.4,25.98,"54,040",0.6,14.03,17.45,23.93,32.90,41.97,"29,190","36,300","49,770","68,430","87,300",,
"25-9040","Teacher Assistants","broad","1,185,700",0.6,"*","25,310",0.5,"*","*","*","*","*","17,180","19,210","23,640","29,900","36,680","TRUE",
"25-9041","Teacher Assistants","detailed","1,185,700",0.6,"*","25,310",0.5,"*","*","*","*","*","17,180","19,210","23,640","29,900","36,680","TRUE",
"25-3000","Other Teachers and Instructors","minor","1,137,130",1.0,17.95,"37,340",1.1,8.69,10.54,14.47,21.53,31.59,"18,080","21,920","30,100","44,790","65,710",,
"13-2010","Accountants and Auditors","broad","1,129,340",0.6,34.15,"71,040",0.2,19.20,23.82,30.55,40.49,53.61,"39,930","49,540","63,550","84,220","111,510",,
"13-2011","Accountants and Auditors","detailed","1,129,340",0.6,34.15,"71,040",0.2,19.20,23.82,30.55,40.49,53.61,"39,930","49,540","63,550","84,220","111,510",,
"19-0000","Life, Physical, and Social Science Occupations","major","1,104,100",0.7,32.87,"68,360",0.7,15.06,20.35,28.89,41.18,55.38,"31,320","42,330","60,100","85,660","115,180",,
"33-9030","Security Guards and Gaming Surveillance Officers","broad","1,055,580",0.9,13.12,"27,290",0.4,8.37,9.47,11.55,15.24,20.46,"17,400","19,700","24,020","31,700","42,560",,
"25-2030","Secondary School Teachers","broad","1,047,550",0.8,"*","57,710",0.5,"*","*","*","*","*","37,020","44,280","55,060","69,200","85,370","TRUE",
"33-9032","Security Guards","detailed","1,046,420",0.9,13.10,"27,240",0.4,8.36,9.46,11.52,15.20,20.43,"17,390","19,670","23,970","31,610","42,490",,
"23-0000","Legal Occupations","major","1,023,020",0.5,47.39,"98,570",0.6,16.80,23.15,36.19,62.57,"#","34,940","48,150","75,270","130,130","#",,
"51-2092","Team Assemblers","detailed","1,006,980",0.9,14.38,"29,910",0.6,8.73,10.29,13.29,17.28,22.45,"18,150","21,410","27,640","35,950","46,700",,
"35-2014","Cooks, Restaurant","detailed","1,000,710",0.8,11.20,"23,300",0.4,8.14,8.99,10.59,12.89,15.20,"16,920","18,700","22,030","26,820","31,630",,
"39-9020","Personal Care Aides","broad","985,230",0.9,10.01,"20,830",0.3,7.85,8.51,9.57,11.10,13.26,"16,330","17,700","19,910","23,090","27,580",,
"39-9021","Personal Care Aides","detailed","985,230",0.9,10.01,"20,830",0.3,7.85,8.51,9.57,11.10,13.26,"16,330","17,700","19,910","23,090","27,580",,
"43-4170","Receptionists and Information Clerks","broad","966,150",0.5,13.00,"27,050",0.2,8.71,10.16,12.49,15.11,18.16,"18,120","21,120","25,990","31,430","37,770",,
"43-4171","Receptionists and Information Clerks","detailed","966,150",0.5,13.00,"27,050",0.2,8.71,10.16,12.49,15.11,18.16,"18,120","21,120","25,990","31,430","37,770",,
"25-2031","Secondary School Teachers, Except Special and Career/Technical Education","detailed","959,770",0.9,"*","57,770",0.5,"*","*","*","*","*","36,930","44,220","55,050","69,310","85,690","TRUE",
"13-1190","Miscellaneous Business Operations Specialists","broad","931,010",0.5,33.90,"70,520",0.3,16.90,23.07,31.31,41.81,53.83,"35,160","47,990","65,120","86,950","111,960",,
"13-1199","Business Operations Specialists, All Other","detailed","931,010",0.5,33.90,"70,520",0.3,16.90,23.07,31.31,41.81,53.83,"35,160","47,990","65,120","86,950","111,960",,
"35-1000","Supervisors of Food Preparation and Serving Workers","minor","914,970",0.5,16.05,"33,390",0.3,9.54,11.27,14.48,19.43,24.92,"19,840","23,440","30,120","40,410","51,830",,
"35-1010","Supervisors of Food Preparation and Serving Workers","broad","914,970",0.5,16.05,"33,390",0.3,9.54,11.27,14.48,19.43,24.92,"19,840","23,440","30,120","40,410","51,830",,
"37-3000","Grounds Maintenance Workers","minor","909,350",0.5,12.72,"26,460",0.3,8.38,9.48,11.53,14.72,18.67,"17,420","19,720","23,970","30,620","38,840",,
"37-3010","Grounds Maintenance Workers","broad","909,350",0.5,12.72,"26,460",0.3,8.38,9.48,11.53,14.72,18.67,"17,420","19,720","23,970","30,620","38,840",,
"37-2012","Maids and Housekeeping Cleaners","detailed","894,920",0.7,10.49,"21,820",0.3,7.90,8.51,9.41,11.53,14.89,"16,430","17,700","19,570","23,980","30,980",,
"25-3090","Miscellaneous Teachers and Instructors","broad","891,450",1.2,17.13,"35,630",1.4,8.60,10.24,13.72,19.98,29.23,"17,890","21,300","28,540","41,550","60,800",,
"31-1011","Home Health Aides","detailed","839,930",1.2,10.49,"21,830",0.4,7.98,8.72,10.01,11.51,14.06,"16,600","18,140","20,820","23,950","29,250",,
"51-9190","Miscellaneous Production Workers","broad","832,240",0.9,13.59,"28,270",0.5,8.44,9.60,12.16,16.42,21.33,"17,550","19,970","25,290","34,160","44,370",,
"37-3011","Landscaping and Groundskeeping Workers","detailed","830,640",0.6,12.44,"25,870",0.3,8.33,9.39,11.33,14.38,18.16,"17,330","19,520","23,570","29,900","37,770",,
"35-1012","First-Line Supervisors of Food Preparation and Serving Workers","detailed","817,600",0.6,15.30,"31,820",0.3,9.45,11.06,14.07,18.44,22.97,"19,660","23,000","29,270","38,360","47,780",,
"47-2060","Construction Laborers","broad","814,470",0.8,16.58,"34,490",0.4,9.15,11.17,14.42,19.83,28.07,"19,040","23,240","29,990","41,250","58,380",,
"47-2061","Construction Laborers","detailed","814,470",0.8,16.58,"34,490",0.4,9.15,11.17,14.42,19.83,28.07,"19,040","23,240","29,990","41,250","58,380",,
"43-6011","Executive Secretaries and Executive Administrative Assistants","detailed","803,040",0.5,24.14,"50,220",0.2,15.05,18.28,22.84,28.91,35.35,"31,310","38,030","47,500","60,130","73,530",,
"35-2020","Food Preparation Workers","broad","785,370",1.2,10.05,"20,910",0.4,7.92,8.51,9.28,11.20,13.84,"16,470","17,700","19,300","23,300","28,790",,
"35-2021","Food Preparation Workers","detailed","785,370",1.2,10.05,"20,910",0.4,7.92,8.51,9.28,11.20,13.84,"16,470","17,700","19,300","23,300","28,790",,
"53-3033","Light Truck or Delivery Services Drivers","detailed","769,010",0.7,16.32,"33,940",0.3,8.75,10.54,14.13,19.95,30.06,"18,190","21,920","29,390","41,490","62,520",,
"49-3020","Automotive Technicians and Repairers","broad","747,210",0.5,18.97,"39,460",0.3,10.12,13.24,17.72,23.26,29.11,"21,050","27,550","36,850","48,390","60,540",,
"41-9000","Other Sales and Related Workers","minor","722,280",0.9,20.52,"42,670",0.7,8.58,9.97,13.75,23.35,42.29,"17,850","20,750","28,600","48,580","87,970",,
"51-3000","Food Processing Workers","minor","720,970",0.9,12.68,"26,380",0.3,8.47,9.66,11.72,14.70,18.60,"17,610","20,090","24,380","30,570","38,690",,
"29-2060","Licensed Practical and Licensed Vocational Nurses","broad","718,800",0.6,20.39,"42,400",0.2,14.89,16.82,19.97,23.26,27.58,"30,970","34,990","41,540","48,380","57,360",,
"29-2061","Licensed Practical and Licensed Vocational Nurses","detailed","718,800",0.6,20.39,"42,400",0.2,14.89,16.82,19.97,23.26,27.58,"30,970","34,990","41,540","48,380","57,360",,
"15-1150","Computer Support Specialists","broad","693,610",0.8,25.59,"53,230",0.3,14.00,18.04,23.51,31.36,40.84,"29,120","37,520","48,900","65,220","84,940",,
"43-5070","Shipping, Receiving, and Traffic Clerks","broad","690,780",0.6,14.76,"30,700",0.2,9.22,11.10,13.95,17.59,21.79,"19,180","23,080","29,010","36,580","45,330",,
"43-5071","Shipping, Receiving, and Traffic Clerks","detailed","690,780",0.6,14.76,"30,700",0.2,9.22,11.10,13.95,17.59,21.79,"19,180","23,080","29,010","36,580","45,330",,
"17-3000","Drafters, Engineering Technicians, and Mapping Technicians","minor","676,280",0.6,25.82,"53,700",0.3,15.26,19.16,24.87,31.39,38.02,"31,740","39,860","51,720","65,280","79,080",,
"41-3090","Miscellaneous Sales Representatives, Services","broad","672,080",0.8,29.22,"60,770",0.4,12.06,16.60,24.45,36.12,52.44,"25,090","34,520","50,850","75,130","109,070",,
"41-3099","Sales Representatives, Services, All Other","detailed","672,080",0.8,29.22,"60,770",0.4,12.06,16.60,24.45,36.12,52.44,"25,090","34,520","50,850","75,130","109,070",,
"29-2050","Health Practitioner Support Technologists and Technicians","broad","668,870",0.6,15.98,"33,240",0.3,10.12,12.17,15.06,18.61,23.06,"21,040","25,320","31,330","38,700","47,960",,
"53-7064","Packers and Packagers, Hand","detailed","660,670",0.9,10.80,"22,470",0.3,8.04,8.66,9.57,12.21,16.03,"16,720","18,010","19,910","25,400","33,330",,
"53-3020","Bus Drivers","broad","652,590",0.8,15.13,"31,480",1.0,8.67,10.74,14.21,18.32,23.10,"18,040","22,350","29,550","38,100","48,040",,
"41-2020","Counter and Rental Clerks and Parts Salespersons","broad","650,920",0.7,13.81,"28,720",0.3,8.38,9.35,12.05,16.68,22.15,"17,440","19,440","25,050","34,700","46,060",,
