"Education and training classification by detailed occupation",,,,
"This table has been updated to correct errors in the category assignments for select occupations. More information on the changes is available at http://www.bls.gov/errata/emp_corrections_01132012.htm",,,,
"2010 National Employment Matrix title and code",,"Typical education needed for entry","Work experience in a related occupation","Typical on-the-job training needed to attain competency in the occupation"
"Cost Estimators","13-1051","Bachelor's degree","None","None"
"Farm Labor Contractors","13-1074","Less than high school","Less than 1 year","Short-term on-the-job training"
"Human Resources, Training, and Labor Relations Specialists, All Other","13-1078","Bachelor's degree","None","None"
"Logisticians","13-1081","Bachelor's degree","1 to 5 years","None"
"Management Analysts","13-1111","Bachelor's degree","1 to 5 years","None"
"Meeting, Convention, and Event Planners","13-1121","Bachelor's degree","Less than 1 year","None"
"Compensation, Benefits, and Job Analysis Specialists","13-1141","Bachelor's degree","None","None"
"Training and Development Specialists","13-1151","Bachelor's degree","None","None"
"Market Research Analysts and Marketing Specialists","13-1161","Bachelor's degree","None","None"
"Business Operations Specialists, All Other","13-1199","High school diploma or equivalent","Less than 1 year","Long-term on-the-job training"
"Accountants and Auditors","13-2011","Bachelor's degree","None","None"
"Appraisers and Assessors of Real Estate","13-2021","High school diploma or equivalent","None","Apprenticeship"
"Budget Analysts","13-2031","Bachelor's degree","None","None"
"Credit Analysts","13-2041","Bachelor's degree","None","None"
"Financial Analysts","13-2051","Bachelor's degree","None","None"
"Personal Financial Advisors","13-2052","Bachelor's degree","None","None"
"Insurance Underwriters","13-2053","Bachelor's degree","None","Moderate-term on-the-job training"
"Financial Examiners","13-2061","Bachelor's degree","None","Moderate-term on-the-job training"
"Credit Counselors","13-2071","Bachelor's degree","None","Moderate-term on-the-job training"
"Loan Officers","13-2072","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tax Examiners and Collectors, and Revenue Agents","13-2081","Bachelor's degree","None","Moderate-term on-the-job training"
"Tax Preparers","13-2082","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Financial Specialists, All Other","13-2099","Bachelor's degree","None","Moderate-term on-the-job training"
"Computer and Information Research Scientists","15-1111","Doctoral or professional degree","None","None"
"Computer Systems Analysts","15-1121","Bachelor's degree","None","None"
"Computer Programmers","15-1131","Bachelor's degree","None","None"
"Software Developers, Applications","15-1132","Bachelor's degree","None","None"
"Software Developers, Systems Software","15-1133","Bachelor's degree","None","None"
"Database Administrators","15-1141","Bachelor's degree","1 to 5 years","None"
"Network and Computer Systems Administrators","15-1142","Bachelor's degree","None","None"
"Computer Support Specialists","15-1150","Some college, no degree","None","Moderate-term on-the-job training"
"Information Security Analysts, Web Developers, and Computer Network Architects","15-1179","Bachelor's degree","1 to 5 years","None"
"Computer Occupations, All Other","15-1799","Bachelor's degree","None","None"
"Actuaries","15-2011","Bachelor's degree","None","Long-term on-the-job training"
"Mathematicians","15-2021","Master's degree","None","None"
"Operations Research Analysts","15-2031","Bachelor's degree","None","None"
"Statisticians","15-2041","Master's degree","None","None"
"Mathematical Technicians","15-2091","Bachelor's degree","None","None"
"Mathematical Science Occupations, All Other","15-2099","Bachelor's degree","None","None"
"Architects, Except Landscape and Naval","17-1011","Bachelor's degree","None","Internship/residency"
"Landscape Architects","17-1012","Bachelor's degree","None","Internship/residency"
"Cartographers and Photogrammetrists","17-1021","Bachelor's degree","None","None"
"Surveyors","17-1022","Bachelor's degree","None","None"
"Aerospace Engineers","17-2011","Bachelor's degree","None","None"
"Agricultural Engineers","17-2021","Bachelor's degree","None","None"
"Biomedical Engineers","17-2031","Bachelor's degree","None","None"
"Chemical Engineers","17-2041","Bachelor's degree","None","None"
"Civil Engineers","17-2051","Bachelor's degree","None","None"
"Computer Hardware Engineers","17-2061","Bachelor's degree","None","None"
"Electrical Engineers","17-2071","Bachelor's degree","None","None"
"Electronics Engineers, Except Computer","17-2072","Bachelor's degree","None","None"
"Environmental Engineers","17-2081","Bachelor's degree","None","None"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","17-2111","Bachelor's degree","None","None"
"Industrial Engineers","17-2112","Bachelor's degree","None","None"
"Marine Engineers and Naval Architects","17-2121","Bachelor's degree","None","None"
"Materials Engineers","17-2131","Bachelor's degree","None","None"
"Mechanical Engineers","17-2141","Bachelor's degree","None","None"
"Mining and Geological Engineers, Including Mining Safety Engineers","17-2151","Bachelor's degree","None","None"
"Nuclear Engineers","17-2161","Bachelor's degree","None","None"
"Petroleum Engineers","17-2171","Bachelor's degree","None","None"
"Engineers, All Other","17-2199","Bachelor's degree","None","None"
"Architectural and Civil Drafters","17-3011","Associate's degree","None","None"
"Electrical and Electronics Drafters","17-3012","Associate's degree","None","None"
"Mechanical Drafters","17-3013","Associate's degree","None","None"
"Drafters, All Other","17-3019","Associate's degree","None","None"
"Aerospace Engineering and Operations Technicians","17-3021","Associate's degree","None","None"
"Civil Engineering Technicians","17-3022","Associate's degree","None","None"
"Electrical and Electronics Engineering Technicians","17-3023","Associate's degree","None","None"
"Electro-Mechanical Technicians","17-3024","Associate's degree","None","None"
"Environmental Engineering Technicians","17-3025","Associate's degree","None","None"
"Industrial Engineering Technicians","17-3026","Associate's degree","None","None"
"Mechanical Engineering Technicians","17-3027","Associate's degree","None","None"
"Engineering Technicians, Except Drafters, All Other","17-3029","Associate's degree","None","None"
"Surveying and Mapping Technicians","17-3031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Animal Scientists","19-1011","Doctoral or professional degree","None","None"
"Food Scientists and Technologists","19-1012","Bachelor's degree","None","None"
"Soil and Plant Scientists","19-1013","Bachelor's degree","None","None"
"Biochemists and Biophysicists","19-1021","Doctoral or professional degree","None","None"
"Microbiologists","19-1022","Bachelor's degree","None","None"
"Zoologists and Wildlife Biologists","19-1023","Bachelor's degree","None","None"
"Biological Scientists, All Other","19-1029","Doctoral or professional degree","None","None"
"Conservation Scientists","19-1031","Bachelor's degree","None","None"
"Foresters","19-1032","Bachelor's degree","None","None"
"Epidemiologists","19-1041","Master's degree","None","None"
"Medical Scientists, Except Epidemiologists","19-1042","Doctoral or professional degree","None","None"
"Life Scientists, All Other","19-1099","Bachelor's degree","None","None"
"Astronomers","19-2011","Doctoral or professional degree","None","None"
"Physicists","19-2012","Doctoral or professional degree","None","None"
"Atmospheric and Space Scientists","19-2021","Bachelor's degree","None","None"
"Chemists","19-2031","Bachelor's degree","None","None"
"Materials Scientists","19-2032","Bachelor's degree","None","None"
"Environmental Scientists and Specialists, Including Health","19-2041","Bachelor's degree","None","None"
"Geoscientists, Except Hydrologists and Geographers","19-2042","Bachelor's degree","None","None"
"Hydrologists","19-2043","Master's degree","None","None"
"Physical Scientists, All Other","19-2099","Bachelor's degree","None","None"
"Economists","19-3011","Bachelor's degree","None","None"
"Survey Researchers","19-3022","Bachelor's degree","None","None"
"Clinical, Counseling, and School Psychologists","19-3031","Doctoral or professional degree","None","Internship/residency"
"Industrial-Organizational Psychologists","19-3032","Master's degree","None","Internship/residency"
"Psychologists, All Other","19-3039","Master's degree","None","Internship/residency"
"Sociologists","19-3041","Master's degree","None","None"
"Urban and Regional Planners","19-3051","Master's degree","None","None"
"Anthropologists and Archeologists","19-3091","Master's degree","None","None"
"Geographers","19-3092","Bachelor's degree","None","None"
"Historians","19-3093","Master's degree","None","None"
"Political Scientists","19-3094","Master's degree","None","None"
"Social Scientists and Related Workers, All Other","19-3099","Bachelor's degree","None","None"
"Agricultural and Food Science Technicians","19-4011","Associate's degree","None","None"
"Biological Technicians","19-4021","Bachelor's degree","None","None"
"Chemical Technicians","19-4031","Associate's degree","None","Moderate-term on-the-job training"
"Geological and Petroleum Technicians","19-4041","Associate's degree","None","Moderate-term on-the-job training"
"Nuclear Technicians","19-4051","Associate's degree","None","Moderate-term on-the-job training"
"Social Science Research Assistants","19-4061","Associate's degree","None","None"
"Environmental Science and Protection Technicians, Including Health","19-4091","Associate's degree","None","Moderate-term on-the-job training"
"Forensic Science Technicians","19-4092","Bachelor's degree","None","Moderate-term on-the-job training"
"Forest and Conservation Technicians","19-4093","Associate's degree","None","None"
"Life, Physical, and Social Science Technicians, All Other","19-4099","Associate's degree","None","Moderate-term on-the-job training"
"Substance Abuse and Behavioral Disorder Counselors","21-1011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Educational, Guidance, School, and Vocational Counselors","21-1012","Master's degree","None","None"
"Marriage and Family Therapists","21-1013","Master's degree","None","Internship/residency"
"Mental Health Counselors","21-1014","Master's degree","None","Internship/residency"
"Rehabilitation Counselors","21-1015","Master's degree","None","None"
"Counselors, All Other","21-1019","Master's degree","None","None"
"Child, Family, and School Social Workers","21-1021","Bachelor's degree","None","None"
"Healthcare Social Workers","21-1022","Master's degree","None","None"
"Mental Health and Substance Abuse Social Workers","21-1023","Bachelor's degree","None","None"
"Social Workers, All Other","21-1029","Bachelor's degree","None","None"
"Health Educators","21-1091","Bachelor's degree","None","None"
"Probation Officers and Correctional Treatment Specialists","21-1092","Bachelor's degree","None","Short-term on-the-job training"
"Social and Human Service Assistants","21-1093","High school diploma or equivalent","None","Short-term on-the-job training"
"Community and Social Service Specialists, All Other","21-1798","Bachelor's degree","None","None"
"Clergy","21-2011","Bachelor's degree","None","Moderate-term on-the-job training"
"Directors, Religious Activities and Education","21-2021","Bachelor's degree","1 to 5 years","None"
"Religious Workers, All Other","21-2099","Bachelor's degree","None","None"
"Lawyers","23-1011","Doctoral or professional degree","None","None"
"Judicial Law Clerks","23-1012","Doctoral or professional degree","None","None"
"Administrative Law Judges, Adjudicators, and Hearing Officers","23-1021","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training"
"Arbitrators, Mediators, and Conciliators","23-1022","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training"
"Judges, Magistrate Judges, and Magistrates","23-1023","Doctoral or professional degree","More than 5 years","Short-term on-the-job training"
"Paralegals and Legal Assistants","23-2011","Associate's degree","None","None"
"Court Reporters","23-2091","Postsecondary non-degree award","None","Short-term on-the-job training"
"Title Examiners, Abstractors, and Searchers","23-2093","High school diploma or equivalent","None","Short-term on-the-job training"
"Legal Support Workers, All Other","23-2099","High school diploma or equivalent","None","Short-term on-the-job training"
"Postsecondary Teachers","25-1000","Doctoral or professional degree","None","None"
"Preschool Teachers, Except Special Education","25-2011","Associate's degree","None","None"
"Kindergarten Teachers, Except Special Education","25-2012","Bachelor's degree","None","Internship/residency"
"Elementary School Teachers, Except Special Education","25-2021","Bachelor's degree","None","Internship/residency"
"Middle School Teachers, Except Special and Career/Technical Education","25-2022","Bachelor's degree","None","Internship/residency"
"Career/Technical Education Teachers, Middle School","25-2023","Bachelor's degree","1 to 5 years","Internship/residency"
"Secondary School Teachers, Except Special and Career/Technical Education","25-2031","Bachelor's degree","None","Internship/residency"
"Career/Technical Education Teachers, Secondary School","25-2032","Bachelor's degree","1 to 5 years","Internship/residency"
"Special Education Teachers, Preschool, Kindergarten, and Elementary School","25-2041","Bachelor's degree","None","Internship/residency"
"Special Education Teachers, Middle School","25-2053","Bachelor's degree","None","Internship/residency"
"Special Education Teachers, Secondary School","25-2054","Bachelor's degree","None","Internship/residency"
"Adult Basic and Secondary Education and Literacy Teachers and Instructors","25-3011","Bachelor's degree","None","Internship/residency"
"Self-Enrichment Education Teachers","25-3021","High school diploma or equivalent","1 to 5 years","None"
"Teachers and Instructors, All Other","25-3999","Bachelor's degree","None","None"
"Archivists","25-4011","Bachelor's degree","None","None"
"Curators","25-4012","Master's degree","None","None"
"Museum Technicians and Conservators","25-4013","Bachelor's degree","None","None"
"Librarians","25-4021","Master's degree","None","None"
"Library Technicians","25-4031","Postsecondary non-degree award","None","None"
"Audio-Visual and Multimedia Collections Specialists","25-9011","Bachelor's degree","1 to 5 years","None"
"Farm and Home Management Advisors","25-9021","Master's degree","None","None"
"Instructional Coordinators","25-9031","Master's degree","More than 5 years","None"
"Teacher Assistants","25-9041","High school diploma or equivalent","None","Short-term on-the-job training"
"Education, Training, and Library Workers, All Other","25-9099","Bachelor's degree","None","None"
"Art Directors","27-1011","Bachelor's degree","1 to 5 years","None"
"Craft Artists","27-1012","High school diploma or equivalent","None","Long-term on-the-job training"
"Fine Artists, Including Painters, Sculptors, and Illustrators","27-1013","High school diploma or equivalent","None","Long-term on-the-job training"
"Multimedia Artists and Animators","27-1014","Bachelor's degree","None","Moderate-term on-the-job training"
"Artists and Related Workers, All Other","27-1019","High school diploma or equivalent","None","Long-term on-the-job training"
"Commercial and Industrial Designers","27-1021","Bachelor's degree","None","None"
"Fashion Designers","27-1022","High school diploma or equivalent","None","Long-term on-the-job training"
"Floral Designers","27-1023","High school diploma or equivalent","None","Short-term on-the-job training"
"Graphic Designers","27-1024","Bachelor's degree","None","None"
"Interior Designers","27-1025","Bachelor's degree","None","None"
"Merchandise Displayers and Window Trimmers","27-1026","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Set and Exhibit Designers","27-1027","Bachelor's degree","None","None"
"Designers, All Other","27-1029","Bachelor's degree","None","None"
"Actors","27-2011","Some college, no degree","None","Long-term on-the-job training"
"Producers and Directors","27-2012","Bachelor's degree","1 to 5 years","None"
"Athletes and Sports Competitors","27-2021","High school diploma or equivalent","None","Long-term on-the-job training"
"Coaches and Scouts","27-2022","High school diploma or equivalent","None","Long-term on-the-job training"
"Umpires, Referees, and Other Sports Officials","27-2023","High school diploma or equivalent","None","Long-term on-the-job training"
"Dancers","27-2031","High school diploma or equivalent","None","Long-term on-the-job training"
"Choreographers","27-2032","High school diploma or equivalent","More than 5 years","Long-term on-the-job training"
"Music Directors and Composers","27-2041","Bachelor's degree","1 to 5 years","None"
"Musicians and Singers","27-2042","High school diploma or equivalent","None","Long-term on-the-job training"
"Entertainers and Performers, Sports and Related Workers, All Other","27-2099","High school diploma or equivalent","None","None"
"Radio and Television Announcers","27-3011","Bachelor's degree","None","None"
"Public Address System and Other Announcers","27-3012","High school diploma or equivalent","None","Short-term on-the-job training"
"Broadcast News Analysts","27-3021","Bachelor's degree","None","None"
"Reporters and Correspondents","27-3022","Bachelor's degree","None","None"
"Public Relations Specialists","27-3031","Bachelor's degree","None","Moderate-term on-the-job training"
"Editors","27-3041","Bachelor's degree","1 to 5 years","None"
"Technical Writers","27-3042","Bachelor's degree","1 to 5 years","Short-term on-the-job training"
"Writers and Authors","27-3043","Bachelor's degree","None","Long-term on-the-job training"
"Interpreters and Translators","27-3091","Bachelor's degree","None","Long-term on-the-job training"
"Media and Communication Workers, All Other","27-3099","High school diploma or equivalent","None","Short-term on-the-job training"
"Audio and Video Equipment Technicians","27-4011","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Broadcast Technicians","27-4012","Associate's degree","None","Short-term on-the-job training"
"Radio Operators","27-4013","High school diploma or equivalent","None","Short-term on-the-job training"
"Sound Engineering Technicians","27-4014","Postsecondary non-degree award","None","Short-term on-the-job training"
"Photographers","27-4021","High school diploma or equivalent","None","Long-term on-the-job training"
"Camera Operators, Television, Video, and Motion Picture","27-4031","Bachelor's degree","None","Moderate-term on-the-job training"
"Film and Video Editors","27-4032","Bachelor's degree","1 to 5 years","None"
"Media and Communication Equipment Workers, All Other","27-4099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Chiropractors","29-1011","Doctoral or professional degree","None","None"
"Dentists, General","29-1021","Doctoral or professional degree","None","Internship/residency"
"Oral and Maxillofacial Surgeons","29-1022","Doctoral or professional degree","None","Internship/residency"
"Orthodontists","29-1023","Doctoral or professional degree","None","Internship/residency"
"Prosthodontists","29-1024","Doctoral or professional degree","None","Internship/residency"
"Dentists, All Other Specialists","29-1029","Doctoral or professional degree","None","Internship/residency"
"Dietitians and Nutritionists","29-1031","Bachelor's degree","None","Internship/residency"
"Optometrists","29-1041","Doctoral or professional degree","None","None"
"Pharmacists","29-1051","Doctoral or professional degree","None","None"
"Physicians and Surgeons","29-1060","Doctoral or professional degree","None","Internship/residency"
"Physician Assistants","29-1071","Master's degree","None","None"
"Podiatrists","29-1081","Doctoral or professional degree","None","Internship/residency"
"Registered Nurses","29-1111","Associate's degree","None","None"
"Occupational Therapists","29-1122","Master's degree","None","None"
"Physical Therapists","29-1123","Doctoral or professional degree","None","None"
"Radiation Therapists","29-1124","Associate's degree","None","None"
"Recreational Therapists","29-1125","Bachelor's degree","None","None"
"Respiratory Therapists","29-1126","Associate's degree","None","None"
"Speech-Language Pathologists","29-1127","Master's degree","None","None"
"Therapists, All Other","29-1128","Master's degree","None","None"
"Veterinarians","29-1131","Doctoral or professional degree","None","None"
"Audiologists","29-1181","Doctoral or professional degree","None","None"
"Health Diagnosing and Treating Practitioners, All Other","29-1199","Master's degree","None","None"
"Medical and Clinical Laboratory Technologists","29-2011","Bachelor's degree","None","None"
"Medical and Clinical Laboratory Technicians","29-2012","Associate's degree","None","None"
"Dental Hygienists","29-2021","Associate's degree","None","None"
"Cardiovascular Technologists and Technicians","29-2031","Associate's degree","None","None"
"Diagnostic Medical Sonographers","29-2032","Associate's degree","None","None"
"Nuclear Medicine Technologists","29-2033","Associate's degree","None","None"
"Radiologic Technologists and Technicians","29-2037","Associate's degree","None","None"
"Emergency Medical Technicians and Paramedics","29-2041","Postsecondary non-degree award","None","None"
"Dietetic Technicians","29-2051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Pharmacy Technicians","29-2052","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Psychiatric Technicians","29-2053","Postsecondary non-degree award","None","Short-term on-the-job training"
"Respiratory Therapy Technicians","29-2054","Associate's degree","None","Moderate-term on-the-job training"
"Surgical Technologists","29-2055","Postsecondary non-degree award","None","None"
"Veterinary Technologists and Technicians","29-2056","Associate's degree","None","None"
"Licensed Practical and Licensed Vocational Nurses","29-2061","Postsecondary non-degree award","None","None"
"Medical Records and Health Information Technicians","29-2071","Postsecondary non-degree award","None","None"
"Opticians, Dispensing","29-2081","High school diploma or equivalent","None","Long-term on-the-job training"
"Orthotists and Prosthetists","29-2091","Master's degree","None","None"
"Health Technologists and Technicians, All Other","29-2799","Postsecondary non-degree award","None","Short-term on-the-job training"
"Occupational Health and Safety Specialists","29-9011","Bachelor's degree","None","Moderate-term on-the-job training"
"Occupational Health and Safety Technicians","29-9012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Athletic Trainers","29-9091","Bachelor's degree","None","None"
"Healthcare Practitioners and Technical Workers, All Other","29-9799","Bachelor's degree","None","None"
"Home Health Aides","31-1011","Less than high school","None","Short-term on-the-job training"
"Nursing Aides, Orderlies, and Attendants","31-1012","Postsecondary non-degree award","None","None"
"Psychiatric Aides","31-1013","High school diploma or equivalent","None","Short-term on-the-job training"
"Occupational Therapy Assistants","31-2011","Associate's degree","None","None"
"Occupational Therapy Aides","31-2012","High school diploma or equivalent","None","Short-term on-the-job training"
"Physical Therapist Assistants","31-2021","Associate's degree","None","None"
"Physical Therapist Aides","31-2022","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Massage Therapists","31-9011","Postsecondary non-degree award","None","None"
"Dental Assistants","31-9091","Postsecondary non-degree award","None","None"
"Medical Assistants","31-9092","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Medical Equipment Preparers","31-9093","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Medical Transcriptionists","31-9094","Postsecondary non-degree award","None","None"
"Pharmacy Aides","31-9095","High school diploma or equivalent","None","Short-term on-the-job training"
"Veterinary Assistants and Laboratory Animal Caretakers","31-9096","High school diploma or equivalent","None","Short-term on-the-job training"
"Healthcare Support Workers, All Other","31-9799","High school diploma or equivalent","None","Short-term on-the-job training"
"First-Line Supervisors of Correctional Officers","33-1011","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training"
"First-Line Supervisors of Police and Detectives","33-1012","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training"
"First-Line Supervisors of Fire Fighting and Prevention Workers","33-1021","Postsecondary non-degree award","1 to 5 years","None"
"First-Line Supervisors of Protective Service Workers, All Other","33-1099","High school diploma or equivalent","1 to 5 years","None"
"Firefighters","33-2011","Postsecondary non-degree award","None","Long-term on-the-job training"
"Fire Inspectors and Investigators","33-2021","High school diploma or equivalent","More than 5 years","Moderate-term on-the-job training"
"Forest Fire Inspectors and Prevention Specialists","33-2022","High school diploma or equivalent","More than 5 years","Moderate-term on-the-job training"
"Bailiffs","33-3011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Correctional Officers and Jailers","33-3012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Detectives and Criminal Investigators","33-3021","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training"
"Fish and Game Wardens","33-3031","High school diploma or equivalent","None","Short-term on-the-job training"
"Parking Enforcement Workers","33-3041","High school diploma or equivalent","None","Short-term on-the-job training"
"Police and Sheriff's Patrol Officers","33-3051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Transit and Railroad Police","33-3052","High school diploma or equivalent","None","Short-term on-the-job training"
"Animal Control Workers","33-9011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Private Detectives and Investigators","33-9021","Some college, no degree","1 to 5 years","Moderate-term on-the-job training"
"Gaming Surveillance Officers and Gaming Investigators","33-9031","High school diploma or equivalent","None","Short-term on-the-job training"
"Security Guards","33-9032","High school diploma or equivalent","None","Short-term on-the-job training"
"Crossing Guards","33-9091","High school diploma or equivalent","None","Short-term on-the-job training"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","33-9092","High school diploma or equivalent","None","Short-term on-the-job training"
"Transportation Security Screeners (Federal Only)","33-9093","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Protective Service Workers, All Other","33-9099","High school diploma or equivalent","None","Short-term on-the-job training"
"Chefs and Head Cooks","35-1011","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Food Preparation and Serving Workers","35-1012","High school diploma or equivalent","1 to 5 years","None"
"Cooks, Fast Food","35-2011","Less than high school","None","Short-term on-the-job training"
"Cooks, Institution and Cafeteria","35-2012","Less than high school","None","Short-term on-the-job training"
"Cooks, Private Household","35-2013","Postsecondary non-degree award","1 to 5 years","None"
"Cooks, Restaurant","35-2014","Less than high school","Less than 1 year","Moderate-term on-the-job training"
"Cooks, Short Order","35-2015","Less than high school","None","Short-term on-the-job training"
"Cooks, All Other","35-2019","Less than high school","None","Moderate-term on-the-job training"
"Food Preparation Workers","35-2021","Less than high school","None","Short-term on-the-job training"
"Bartenders","35-3011","Less than high school","None","Short-term on-the-job training"
"Combined Food Preparation and Serving Workers, Including Fast Food","35-3021","Less than high school","None","Short-term on-the-job training"
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","35-3022","Less than high school","None","Short-term on-the-job training"
"Waiters and Waitresses","35-3031","Less than high school","None","Short-term on-the-job training"
"Food Servers, Nonrestaurant","35-3041","Less than high school","None","Short-term on-the-job training"
"Dining Room and Cafeteria Attendants and Bartender Helpers","35-9011","Less than high school","None","Short-term on-the-job training"
"Dishwashers","35-9021","Less than high school","None","Short-term on-the-job training"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","35-9031","Less than high school","None","None"
"Food Preparation and Serving Related Workers, All Other","35-9099","Less than high school","None","Short-term on-the-job training"
"First-Line Supervisors of Housekeeping and Janitorial Workers","37-1011","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","37-1012","High school diploma or equivalent","1 to 5 years","None"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","37-2011","Less than high school","None","Short-term on-the-job training"
"Maids and Housekeeping Cleaners","37-2012","Less than high school","None","Short-term on-the-job training"
"Building Cleaning Workers, All Other","37-2019","High school diploma or equivalent","None","Short-term on-the-job training"
"Pest Control Workers","37-2021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Landscaping and Groundskeeping Workers","37-3011","Less than high school","None","Short-term on-the-job training"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","37-3012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tree Trimmers and Pruners","37-3013","High school diploma or equivalent","None","Short-term on-the-job training"
"Grounds Maintenance Workers, All Other","37-3019","Less than high school","None","Short-term on-the-job training"
"Gaming Supervisors","39-1011","High school diploma or equivalent","1 to 5 years","None"
"Slot Supervisors","39-1012","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Personal Service Workers","39-1021","High school diploma or equivalent","1 to 5 years","None"
